Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66156aa5e3951d4054e100e3,60fd1f3510ad12e40aa95564,TIMED-OUT,Not Applicable,2024-04-09T16:19:54.370000Z,,,2024-04-10T12:33:40.386368Z,72827.0,,1020,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66156aab168f4e70dae10309,5bfd8910eed5280001ead1dd,RETURNED,Not Applicable,2024-04-09T16:20:00.529000Z,,,2024-04-10T12:33:40.382379Z,,,780,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156aaca77972ed7cdaf282,64839b36cfc47670f29b64fd,AWAITING REVIEW,Not Applicable,2024-04-09T16:20:19.067000Z,2024-04-09T16:38:17.506000Z,,2024-04-09T16:40:28.102227Z,1079.0,C1AUX6QQ,571,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66156aaff79377de6fb4d3b6,5b7bc048338a93000155167e,AWAITING REVIEW,Not Applicable,2024-04-09T16:21:56.052000Z,2024-04-09T16:39:56.061000Z,,2024-04-09T17:40:49.043240Z,1081.0,C1AUX6QQ,1386,47,Female,Asian,India,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66156abac17e8baa8ec1ea53,62a999b8ed876efe5ffe9599,AWAITING REVIEW,Not Applicable,2024-04-09T16:20:36.399000Z,2024-04-09T16:33:08.131000Z,,2024-04-09T16:33:08.679618Z,752.0,C1AUX6QQ,389,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66156ae31ebd0491a3e756c4,64da4cf9f1d340a67be8a547,RETURNED,Not Applicable,2024-04-09T16:21:17.733000Z,,,2024-04-10T12:33:40.417071Z,,,330,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156aeb45d66737090a319c,616829767ddec9e42886501d,RETURNED,Not Applicable,2024-04-09T16:21:03.735000Z,,,2024-04-10T12:33:40.415138Z,,,1055,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156af0554b7bee929e8da9,5c2e74018a20f50001ea0e49,RETURNED,Not Applicable,2024-04-09T16:21:15.823000Z,,,2024-04-10T12:33:40.409828Z,,,251,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156af6fd180ffb9e0b1f2c,65de11d6c701d69064be9f0b,RETURNED,Not Applicable,2024-04-09T16:21:24.487000Z,,,2024-04-10T12:33:40.399292Z,,,48,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66156b0db0838de8cd3321fa,63d7a22ff9d8f3c778a83305,RETURNED,Not Applicable,2024-04-09T16:25:24.790000Z,,,2024-04-10T12:33:40.463709Z,,,282,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
